                                         STRUCTURE OUTFLOW DISCHARGE
  INFLOW AND OUTFLOW DISCHARGE MAY BE DIFFERENT IF STRUCTURE IS A LONG CULVERT OR IF OUTFLOW COMBINES MULTIPLE CULVERTS
                                   OUTFLOW DISCHARGE IS REPORTED AS NEGATIVE

     FLOODPLAIN GRID ELEMENTS     TIME (HRS)               DISCHARGE (CFS OR CMS)

 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        84.52  AT TIME:     4.60
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     5.50              22.10                    -22.10
                                     5.60              21.16                    -21.16
                                     5.70              19.71                    -19.71
                                     5.80              19.05                    -19.05
                                     5.90              18.91                    -18.91
                                     6.00              19.23                    -19.23
                                     6.10              18.57                    -18.57
                                     6.20              17.54                    -17.54
                                     6.30              16.27                    -16.27

 THE MAXIMUM DISCHARGE FOR: CULV_122        STRUCTURE NO.        6 IS:        64.46  AT TIME:     4.90
                                        INFLOW NODE:      2399 AND OUTFLOW NODE:      1564
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.01                     -0.01
                                     2.70               0.02                     -0.02
                                     2.80               0.02                     -0.02
                                     2.90               0.03                     -0.03
                                     3.00               0.03                     -0.03
                                     3.10               0.06                     -0.06
                                     3.20               0.08                     -0.08
                                     3.30               0.10                     -0.10
                                     3.40               0.17                     -0.17
                                     3.50               0.20                     -0.20
                                     3.60               0.36                     -0.36
                                     3.70               0.49                     -0.49
                                     3.80               0.60                     -0.60
                                     3.90               0.79                     -0.79
                                     4.00               0.98                     -0.98
                                     4.10               1.46                     -1.46
                                     4.20               4.33                     -4.33
                                     4.30               5.47                     -5.47
                                     4.40               7.94                     -7.94
                                     4.50              14.57                    -14.57
                                     4.60              16.38                    -16.38
                                     4.70              38.76                    -38.76
                                     4.80              63.57                    -63.57
                                     4.90              64.46                    -64.46
                                     5.00              62.21                    -62.21
                                     5.10              59.98                    -59.98
                                     5.20              57.80                    -57.80
                                     5.30              55.23                    -55.23
                                     5.40              53.09                    -53.09
                                     5.50              52.15                    -52.15
                                     5.60              51.61                    -51.61
                                     5.70              49.73                    -49.73
                                     5.80              47.36                    -47.36
                                     5.90              44.97                    -44.97
                                     6.00              43.24                    -43.24
                                     6.10              41.51                    -41.51
                                     6.20              39.60                    -39.60
                                     6.30              37.72                    -37.72

 THE MAXIMUM DISCHARGE FOR: CULV_125        STRUCTURE NO.        7 IS:         1.37  AT TIME:     5.10
                                        INFLOW NODE:     22655 AND OUTFLOW NODE:     21898
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.00                      0.00
                                     4.00               0.00                      0.00
                                     4.10               0.00                      0.00
                                     4.20               0.04                     -0.04
                                     4.30               0.36                     -0.36
                                     4.40               0.85                     -0.85
                                     4.50               1.02                     -1.02
                                     4.60               1.05                     -1.05
                                     4.70               1.18                     -1.18
                                     4.80               1.27                     -1.27
                                     4.90               1.25                     -1.25
                                     5.00               1.35                     -1.35
                                     5.10               1.37                     -1.37
                                     5.20               1.33                     -1.33
                                     5.30               1.32                     -1.32
                                     5.40               1.29                     -1.29
                                     5.50               1.23                     -1.23
                                     5.60               1.22                     -1.22
                                     5.70               1.21                     -1.21
                                     5.80               1.19                     -1.19
                                     5.90               1.29                     -1.29
                                     6.00               1.31                     -1.31
                                     6.10               1.29                     -1.29
                                     6.20               1.26                     -1.26
                                     6.30               1.22                     -1.22

 THE MAXIMUM DISCHARGE FOR: CULV_126        STRUCTURE NO.        8 IS:         6.67  AT TIME:     4.70
                                        INFLOW NODE:     30281 AND OUTFLOW NODE:     29873
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.03                     -0.03
                                     3.60               0.22                     -0.22
                                     3.70               0.44                     -0.44
                                     3.80               0.63                     -0.63
                                     3.90               0.95                     -0.95
                                     4.00               1.50                     -1.50
                                     4.10               2.53                     -2.53
                                     4.20               3.63                     -3.63
                                     4.30               4.50                     -4.50
                                     4.40               5.02                     -5.02
                                     4.50               5.36                     -5.36
                                     4.60               6.65                     -6.65
                                     4.70               6.67                     -6.67
                                     4.80               6.64                     -6.64
                                     4.90               6.60                     -6.60
                                     5.00               6.58                     -6.58
                                     5.10               6.55                     -6.55
                                     5.20               6.51                     -6.51
