  OUTFALL DISCHARGE TO FLO-2D

GRID ELEMENT:      34301        CHANNEL ELEMENT:         86
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          1.400            0.001
          1.500            0.001
          1.600            0.001
          1.700            0.001
          1.800            0.001
          1.900            0.001
          2.000            0.001
          2.100            0.001
          2.200            0.001
          2.300            0.001
          2.400            0.001
          2.500            0.001
          2.600            0.002
          2.700            0.002
          2.800            0.004
          2.900            0.005
          3.000            0.005
          3.100            0.010
          3.200            0.012
          3.300            0.016
          3.400            0.021
          3.500            0.022
          3.600            0.041
          3.700            0.045
          3.800            0.050
          3.900            0.053
          4.000            0.053
          4.100            0.037
          4.200            0.035
          4.300            0.027
          4.400            0.021
          4.500            0.020
          4.600            0.014
          4.700            0.012
          4.800            0.011
          4.900            0.009
          5.000            0.009
          5.100            0.003
          5.200            0.002
          5.300            0.001
          5.400            0.001
          5.500            0.001
          5.600            0.001
          5.700            0.001
          5.800            0.001
          5.900            0.001
          6.000            0.001
          6.100            0.000
          6.200            0.000
          6.300            0.000

GRID ELEMENT:      24611        CHANNEL ELEMENT:        133
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100           -7.000
          0.200           -7.000
          0.300           -7.000
          0.400            1.670
          0.500           -0.121
          0.600           -7.000
          0.700            3.678
          0.800            3.908
          0.900           -6.742
          1.000            0.244
          1.100            6.816
          1.200           -6.146
          1.300           -4.562
          1.400            3.996
          1.500            7.000
          1.600           -3.747
          1.700           -6.787
          1.800            2.193
          1.900            7.000
          2.000           -0.291
          2.100           -7.000
          2.200           -2.115
          2.300            6.346
          2.400            3.206
          2.500           -3.483
          2.600           -1.720
          2.700            3.507
          2.800            4.385
          2.900            1.648
          3.000            3.758
          3.100            3.417
          3.200            3.754
          3.300            4.324
          3.400            4.777
          3.500            5.260
          3.600            6.127
          3.700            7.000
          3.800            7.000
          3.900            7.000
          4.000            7.000
          4.100            7.000
          4.200            7.000
          4.300            7.000
          4.400            7.000
          4.500            7.000
          4.600            7.000
          4.700            7.000
          4.800            7.000
          4.900            7.000
          5.000            7.000
          5.100            7.000
          5.200            7.000
          5.300            7.000
          5.400            7.000
          5.500            7.000
          5.600            7.000
          5.700            7.000
          5.800            7.000
          5.900            7.000
          6.000            7.000
          6.100            7.000
          6.200            7.000
          6.300            7.000

GRID ELEMENT:      26607        CHANNEL ELEMENT:        123
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.000
          1.000            0.000
          1.100            0.000
          1.200            0.001
          1.300            0.003
          1.400            0.004
          1.500            0.005
          1.600            0.006
          1.700            0.008
          1.800            0.010
          1.900            0.011
          2.000            0.013
          2.100            0.014
          2.200            0.016
          2.300            0.018
          2.400            0.021
          2.500            0.024
          2.600            0.027
          2.700            0.031
          2.800            0.036
          2.900            0.043
          3.000            0.050
          3.100            0.067
          3.200            0.085
          3.300            0.114
          3.400            0.159
          3.500            0.209
          3.600            0.335
          3.700            0.506
          3.800            0.717
          3.900            0.987
          4.000            1.200
          4.100            1.200
          4.200            1.200
          4.300            1.200
          4.400            1.200
          4.500            1.200
          4.600            1.200
          4.700            1.200
          4.800            0.887
          4.900            0.788
          5.000            0.710
          5.100            0.627
          5.200            0.556
          5.300            0.494
          5.400            0.442
          5.500            0.397
          5.600            0.360
          5.700            0.329
          5.800            0.303
          5.900            0.281
          6.000            0.261
          6.100            0.234
          6.200            0.210
          6.300            0.190

GRID ELEMENT:      20580        CHANNEL ELEMENT:        154
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.000
          1.000            0.000
          1.100            0.000
          1.200            0.000
          1.300            0.000
          1.400            0.000
          1.500            0.000
          1.600            0.000
          1.700            0.000
          1.800            0.000
          1.900            0.000
          2.000            0.000
          2.100            0.000
          2.200            0.000
          2.300            0.000
          2.400            0.000
          2.500            0.000
          2.600            0.000
          2.700            0.001
          2.800            0.002
          2.900            0.002
          3.000            0.003
          3.100            0.014
          3.200            0.020
          3.300            0.032
          3.400            0.048
          3.500            0.056
          3.600            0.108
          3.700            0.133
          3.800            0.154
          3.900            0.170
          4.000            0.177
          4.100            0.136
          4.200            0.122
          4.300            0.099
          4.400            0.077
          4.500            0.068
          4.600            0.051
          4.700            0.043
          4.800            0.037
          4.900            0.034
          5.000            0.034
          5.100            0.026
